algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,1,1,8,8,5,318.0,105.0,34.0,3.105263,3.028571,3.518319,0.395833,0.336358,0.409524,0.388158,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,4,5,318.0,141.0,34.0,2.313725,2.247378,2.60544,0.271318,0.248394,0.310883,0.289216,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,1,2,8,8,5,318.0,140.0,34.0,2.328947,2.271429,2.638739,0.546875,0.502269,0.557143,0.291118,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,2,1,8,4,5,318.0,141.0,34.0,2.313725,2.247378,2.60544,0.271318,0.248394,0.310883,0.289216,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,2,1,8,8,5,318.0,140.0,34.0,2.328947,2.271429,2.638739,0.546875,0.502269,0.557143,0.291118,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,2,2,8,4,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.413613,0.395445,0.477273,0.231675,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted,next_cycle,8,2,2,8,8,5,318.0,175.0,34.0,1.863158,1.817143,2.110991,0.6375,0.601815,0.645714,0.232895,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.168675,0.152439,0.244036,0.484756,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.023256,0.02178,0.023256,0.924419,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.176471,0.150603,0.241226,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.176471,0.150603,0.241226,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,1,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,2,8,4,5,318.0,85.0,2.0,3.741176,3.732657,3.753566,0.183908,0.164706,0.252879,0.467647,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,2,2,8,8,5,318.0,47.0,2.0,6.765957,6.757979,6.786824,0.06383,0.060096,0.06383,0.845745,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.329268,0.321187,0.334963,0.484756,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,8,8,5,318.0,42.0,2.0,7.571429,7.533399,7.571429,0.02381,0.022267,0.02381,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.337349,0.317412,0.348612,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.337349,0.317412,0.348612,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.322581,0.315477,0.331372,0.473214,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.066667,0.062608,0.066667,0.883333,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.390244,0.37356,0.402439,0.484756,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,1,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.023256,0.02178,0.023256,0.924419,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.385542,0.382989,0.395224,0.478916,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,1,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.385542,0.382989,0.395224,0.478916,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,2,1,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.380952,0.376408,0.386904,0.473214,34.0,2.0
QAOA,4,16,shifted,regime_switch,next_cycle,8,2,2,8,8,5,318.0,47.0,2.0,6.765957,6.757979,6.786824,0.06383,0.060096,0.06383,0.845745,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.414634,0.394064,0.422206,0.484756,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,1,1,8,8,5,318.0,42.0,2.0,7.571429,7.533399,7.571429,0.02381,0.022267,0.02381,0.946429,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.409639,0.401176,0.433669,0.478916,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,1,2,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.409639,0.401176,0.433669,0.478916,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,2,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.416667,0.414216,0.428763,0.473214,34.0,2.0
QAOA,4,16,shifted,shifted_critical,next_cycle,8,2,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.066667,0.062608,0.066667,0.883333,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.390244,0.37356,0.402439,0.484756,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,1,1,8,8,5,318.0,42.0,2.0,7.571429,7.533399,7.571429,0.02381,0.022267,0.02381,0.946429,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.385542,0.382989,0.395224,0.478916,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,1,2,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.385542,0.382989,0.395224,0.478916,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,2,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.380952,0.376408,0.386904,0.473214,34.0,2.0
QAOA,4,16,shifted,stall_aware_shifted,next_cycle,8,2,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.066667,0.062608,0.066667,0.883333,34.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,1,8,4,5,1614.0,427.0,76.0,3.825,3.73879,3.897601,0.0325,0.017806,0.050411,0.478125,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,1,8,8,5,1614.0,255.0,76.0,6.044944,5.915195,6.504819,0.090196,0.072153,0.123847,0.755618,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,2,8,4,5,1614.0,447.0,76.0,3.608491,3.520929,3.727713,0.073113,0.042418,0.094991,0.451061,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,2,8,8,5,1614.0,319.0,76.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,2,1,8,4,5,1614.0,447.0,76.0,3.608491,3.520929,3.727713,0.073113,0.042418,0.094991,0.451061,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,2,1,8,8,5,1614.0,319.0,76.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0,2.0
