algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,75,5,94.117647,133.999981,92.537349,180.39218,73.626338,133.999896,2.313725,0.449612,75,0,0,0.0
QAOA,6,36,75,5,97.368421,26.778238,12.693498,40.952392,-12.986658,26.778298,4.622356,0.109325,75,0,0,0.0
QAOA,8,64,75,5,98.591549,7.142873,4.407071,11.095505,-229.715475,7.142816,5.490628,0.039728,75,0,0,0.0
QFT,4,16,75,5,90.909091,53.110052,35.433092,75.97767,16.729126,53.110026,3.826087,0.234921,75,0,0,0.0
QFT,6,36,75,5,90.39548,9.831459,6.713511,14.004385,-264.775069,9.831553,5.418367,0.055609,75,0,0,0.0
VQE,4,16,75,5,93.333333,42.553186,25.454531,61.904754,-68.472216,42.55316,3.764706,0.140625,75,0,0,0.0
VQE,6,36,75,5,97.142857,7.305925,4.892963,11.87214,-310.201882,7.305886,5.377593,0.038732,65,10,0,0.0
VQE,8,64,75,5,98.412698,2.186586,1.45809,4.244485,-1402.180161,2.186655,5.785311,0.014265,65,10,0,0.0
