algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,stall_aware_shifted,stall_low,near_saturation,mixed,W8_M8_F8,3,6.239998,3,1.0,3,1.0,0,0.0,moderate
QAOA,stall_aware_shifted,stall_low,saturated,mixed,W8_M8_F8,1,3.846158,1,1.0,0,0.0,0,0.0,weak
QAOA,stall_aware_shifted,stall_low,underutilized,mixed,W8_M8_F4,7,3.507345,7,1.0,1,0.142857,0,0.0,weak
QAOA,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F5,5,17.152106,5,1.0,5,1.0,0,0.0,moderate
QAOA,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F6,6,18.66425,6,1.0,6,1.0,2,0.333333,moderate
QAOA,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F7,5,16.946791,5,1.0,5,1.0,2,0.4,moderate
QAOA,stall_aware_shifted,stall_medium,near_saturation,mixed,W8_M8_F8,1,9.105432,1,1.0,1,1.0,0,0.0,moderate
QAOA,stall_aware_shifted,stall_medium,underutilized,mixed,W8_M8_F4,3,9.855774,3,1.0,3,1.0,0,0.0,moderate
QFT,asap,stall_high,underutilized,mixed,W8_M8_F5,5,35.826799,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F6,5,51.162812,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F7,5,70.430124,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F8,5,90.361461,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_low,active,mixed,W8_M8_F5,2,6.856291,2,1.0,2,1.0,0,0.0,moderate
QFT,asap,stall_low,underutilized,mixed,W8_M8_F4,5,4.247333,5,1.0,0,0.0,0,0.0,weak
QFT,asap,stall_medium,active,mixed,W8_M8_F5,3,6.858938,3,1.0,3,1.0,0,0.0,moderate
QFT,asap,stall_medium,active,mixed,W8_M8_F6,5,9.981349,5,1.0,5,1.0,0,0.0,moderate
QFT,asap,stall_medium,active,mixed,W8_M8_F7,5,13.557483,5,1.0,5,1.0,0,0.0,moderate
QFT,asap,stall_medium,near_saturation,mixed,W8_M8_F8,5,17.632562,5,1.0,5,1.0,0,0.0,moderate
QFT,asap,stall_medium,underutilized,mixed,W8_M8_F4,5,22.29301,5,1.0,5,1.0,5,1.0,strong
QFT,greedy_critical,stall_high,underutilized,mixed,W8_M8_F5,5,35.856595,5,1.0,5,1.0,5,1.0,strong
QFT,greedy_critical,stall_high,underutilized,mixed,W8_M8_F6,5,53.58853,5,1.0,5,1.0,5,1.0,strong
QFT,greedy_critical,stall_high,underutilized,mixed,W8_M8_F7,5,75.419,5,1.0,5,1.0,5,1.0,strong
QFT,greedy_critical,stall_high,underutilized,mixed,W8_M8_F8,5,100.0,5,1.0,5,1.0,5,1.0,strong
QFT,greedy_critical,stall_low,active,mixed,W8_M8_F5,5,6.640622,5,1.0,5,1.0,0,0.0,moderate
QFT,greedy_critical,stall_low,underutilized,mixed,W8_M8_F4,5,4.065049,5,1.0,0,0.0,0,0.0,weak
QFT,greedy_critical,stall_medium,active,mixed,W8_M8_F6,5,9.719622,5,1.0,5,1.0,0,0.0,moderate
