algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,200,5,94.117647,107.4468,61.363593,197.872265,73.556197,107.447012,2.313725,0.387588,200,0,0,0.0
QAOA,6,36,200,5,97.368421,19.54097,9.374984,52.619048,84.210498,19.540996,3.893136,0.103896,200,0,0,0.0
QAOA,8,64,200,5,98.591549,6.070818,3.146621,16.40131,81.754925,6.070868,4.674402,0.033133,198,2,0,0.0
QFT,4,16,200,5,90.909091,45.479126,21.973722,90.361461,83.253557,45.479202,3.336,0.210032,200,0,0,0.0
QFT,6,36,200,5,90.39548,7.34091,3.999998,16.354827,53.251644,7.340826,4.910939,0.044971,200,0,0,0.0
VQE,4,16,200,5,93.333333,35.962745,17.910474,72.972975,46.881021,35.962707,3.413333,0.100156,200,0,0,0.0
VQE,6,36,200,5,97.142857,3.363908,0.918832,5.487811,0.0,3.363934,5.003647,0.017857,170,30,0,0.0
VQE,8,64,200,5,98.412698,0.389871,0.19418,0.968989,0.0,0.389871,5.623424,0.005814,160,40,0,0.0
