algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,4,16,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,stall_aware_shifted_refined,next_cycle,8,2,1,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.297872,0.048193,-0.249679,83.820903,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,stall_aware_shifted_refined,next_cycle,8,2,1,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,stall_aware_shifted_refined,next_cycle,8,2,2,8,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.409938,0.059524,-0.350414,85.479755,0.231675,0.473214,0.241539,104.257689
QAOA,4,16,stall_aware_shifted_refined,next_cycle,8,2,2,8,8,5,5,34.0,2.0,94.117647,1.863158,7.066667,5.203509,279.284366,0.6375,0.066667,-0.570833,89.542431,0.232895,0.883333,0.650438,279.283797
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,1,8,4,5,5,34.0,2.0,94.117647,3.0,3.878049,0.878049,29.2683,0.135922,0.390244,0.254322,-187.108783,0.375,0.484756,0.109756,29.268267
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,1,8,8,5,5,34.0,2.0,94.117647,3.105263,7.571429,4.466166,143.825692,0.395833,0.02381,-0.372023,93.984837,0.388158,0.946429,0.558271,143.82571
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.385542,0.114224,-42.099676,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,stall_aware_shifted,next_cycle,8,2,1,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.385542,0.114224,-42.099676,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,stall_aware_shifted,next_cycle,8,2,1,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,stall_aware_shifted,next_cycle,8,2,2,8,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.413613,0.380952,-0.032661,7.896512,0.231675,0.473214,0.241539,104.257689
QAOA,4,16,stall_aware_shifted,next_cycle,8,2,2,8,8,5,5,34.0,2.0,94.117647,1.863158,7.066667,5.203509,279.284366,0.6375,0.066667,-0.570833,89.542431,0.232895,0.883333,0.650438,279.283797
QAOA,6,36,asap,next_cycle,8,1,1,8,4,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0325,0.233766,0.201266,-619.28,0.478125,0.496988,0.018863,3.945203
QAOA,6,36,asap,next_cycle,8,1,1,8,8,5,5,76.0,2.0,97.368421,6.044944,7.894737,1.849793,30.600664,0.090196,0.004902,-0.085294,94.565169,0.755618,0.986842,0.231224,30.600647
QAOA,6,36,asap,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.028037,7.857143,2.829106,56.266611,0.178683,0.009756,-0.168927,94.540051,0.628505,0.982143,0.353638,56.266537
QAOA,6,36,asap,next_cycle,8,2,1,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,2,1,8,8,5,5,76.0,2.0,97.368421,5.028037,7.857143,2.829106,56.266611,0.178683,0.009756,-0.168927,94.540051,0.628505,0.982143,0.353638,56.266537
QAOA,6,36,asap,next_cycle,8,2,2,8,4,5,5,76.0,2.0,97.368421,3.304536,3.956835,0.652299,19.739504,0.116959,0.235142,0.118183,-101.046521,0.413067,0.494604,0.081537,19.739413
QAOA,6,36,asap,next_cycle,8,2,2,8,8,5,5,76.0,2.0,97.368421,4.127877,7.806122,3.678245,89.107427,0.28836,0.014493,-0.273867,94.973991,0.515985,0.975765,0.45978,89.107241
QAOA,6,36,greedy_critical,next_cycle,8,1,1,8,4,5,5,76.0,2.0,97.368421,3.863636,3.975904,0.112268,2.90576,0.014218,0.426108,0.41189,-2896.961598,0.482955,0.496988,0.014033,2.905654
QAOA,6,36,greedy_critical,next_cycle,8,1,1,8,8,5,5,76.0,2.0,97.368421,6.987013,7.894737,0.907724,12.991589,0.064935,0.004902,-0.060033,92.450912,0.873377,0.986842,0.113465,12.991526
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.686747,3.966346,0.279599,7.583894,0.057831,0.425481,0.36765,-635.731701,0.460843,0.495793,0.03495,7.583928
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.243506,0.009756,-0.23375,95.993528,0.655032,0.982143,0.327111,49.938171
QAOA,6,36,greedy_critical,next_cycle,8,2,1,8,4,5,5,76.0,2.0,97.368421,3.686747,3.966346,0.279599,7.583894,0.057831,0.425481,0.36765,-635.731701,0.460843,0.495793,0.03495,7.583928
QAOA,6,36,greedy_critical,next_cycle,8,2,1,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.243506,0.009756,-0.23375,95.993528,0.655032,0.982143,0.327111,49.938171
QAOA,6,36,greedy_critical,next_cycle,8,2,2,8,4,5,5,76.0,2.0,97.368421,3.370044,3.956835,0.586791,17.411969,0.110132,0.426859,0.316727,-287.58853,0.421256,0.494604,0.073348,17.41174
