dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
shifted,QFT,ff_rate_matched,mixed,W8_M8_F4,10,5,3.950547,0.006634,0.493818
shifted,QFT,ff_rate_matched,mixed,W8_M8_F5,10,5,4.906505,0.010181,0.613313
shifted,QFT,ff_rate_matched,mixed,W8_M8_F6,10,5,5.844985,0.012568,0.730623
shifted,QFT,ff_rate_matched,mixed,W8_M8_F7,10,5,6.777781,0.017708,0.847222
shifted,QFT,ff_rate_matched,mixed,W8_M8_F8,10,5,7.652152,0.01698,0.956519
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F4,10,5,3.976948,0.005763,0.497119
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F5,10,5,4.956957,0.007174,0.619619
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F6,10,5,5.938918,0.008116,0.742364
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F7,10,5,6.927118,0.006681,0.865889
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F8,10,5,7.906067,0.00762,0.988258
shifted,VQE,asap,mixed,W8_M8_F4,15,5,3.963303,0.434251,0.495413
shifted,VQE,asap,mixed,W8_M8_F5,15,5,4.927757,0.311787,0.61597
shifted,VQE,asap,mixed,W8_M8_F6,15,5,5.917808,0.191781,0.739726
shifted,VQE,asap,mixed,W8_M8_F7,15,5,6.857143,0.084656,0.857143
shifted,VQE,asap,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,ff_rate_matched,mixed,W8_M8_F4,15,5,3.963303,0.009174,0.495413
shifted,VQE,ff_rate_matched,mixed,W8_M8_F5,15,5,4.927757,0.011407,0.61597
shifted,VQE,ff_rate_matched,mixed,W8_M8_F6,15,5,5.917808,0.009132,0.739726
shifted,VQE,ff_rate_matched,mixed,W8_M8_F7,15,5,6.857143,0.015873,0.857143
shifted,VQE,ff_rate_matched,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.963303,0.009174,0.495413
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.927757,0.011407,0.61597
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,5.917808,0.009132,0.739726
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,6.857143,0.015873,0.857143
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
