algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,8,64,1,asap,next_cycle,8,1,2,8,5,127,2,98.425197,4.739255,4.981928,0.242673,5.120488,0.045845,0.162651,0.116806,-254.7846,0.592407,0.622741,0.030334,5.120466,0.592407,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,1,asap,next_cycle,8,1,2,8,6,127,2,98.425197,5.537946,5.978313,0.440367,7.951811,0.058036,0.112048,0.054012,-93.066373,0.692243,0.747289,0.055046,7.951832,0.692243,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,1,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,127,2,98.425197,7.657407,7.951923,0.294516,3.846158,0.003086,0.003205,0.000119,-3.856124,0.957176,0.99399,0.036814,3.846106,0.957176,saturated,stall_low,mixed,W8_M8_F8,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,4,142,2,98.591549,3.889423,3.988496,0.099073,2.547242,0.02484,0.25226,0.22742,-915.539452,0.486178,0.498562,0.012384,2.547215,0.486178,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,5,142,2,98.591549,4.73561,4.983573,0.247963,5.236136,0.034146,0.154004,0.119858,-351.016224,0.591951,0.622947,0.030996,5.236244,0.591951,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,6,142,2,98.591549,5.49095,5.977833,0.486883,8.867008,0.042986,0.115764,0.072778,-169.306286,0.686369,0.747229,0.06086,8.866951,0.686369,active,stall_low,mixed,W8_M8_F6,improved,worse
QAOA,8,64,2,asap,next_cycle,8,1,2,8,7,142,2,98.591549,6.159898,6.964132,0.804234,13.055963,0.057107,0.063128,0.006021,-10.543366,0.769987,0.870516,0.100529,13.055935,0.769987,active,stall_medium,mixed,W8_M8_F7,improved,worse
QAOA,8,64,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,5,142,2,98.591549,4.96827,4.983573,0.015303,0.308015,0.003071,0.00308,9e-06,-0.293064,0.621034,0.622947,0.001913,0.308035,0.621034,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,142,2,98.591549,7.513932,7.957377,0.443445,5.901637,0.003096,0.003279,0.000183,-5.910853,0.939241,0.994672,0.055431,5.90168,0.939241,near_saturation,stall_low,mixed,W8_M8_F8,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,4,148,2,98.648649,3.826291,3.988581,0.16229,4.241444,0.039124,0.251223,0.212099,-542.119926,0.478286,0.498573,0.020287,4.241604,0.478286,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,5,148,2,98.648649,4.652712,4.984709,0.331997,7.135559,0.043768,0.156983,0.113215,-258.670718,0.581589,0.623089,0.0415,7.135623,0.581589,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,3,asap,next_cycle,8,1,2,8,6,148,2,98.648649,5.385463,5.977995,0.592532,11.002434,0.068282,0.117359,0.049077,-71.873993,0.673183,0.747249,0.074066,11.002357,0.673183,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,3,stall_aware_shifted_refined,next_cycle,8,1,2,8,5,148,2,98.648649,4.929435,4.984709,0.055274,1.121305,0.003024,0.003058,3.4e-05,-1.124339,0.616179,0.623089,0.00691,1.121427,0.616179,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,4,asap,next_cycle,8,1,2,8,4,163,2,98.773006,3.843895,3.988773,0.144878,3.769042,0.025502,0.268645,0.243143,-953.427182,0.480487,0.498597,0.01811,3.769093,0.480487,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,4,asap,next_cycle,8,1,2,8,5,163,2,98.773006,4.605556,4.983968,0.378412,8.216424,0.038889,0.158317,0.119428,-307.099694,0.575694,0.622996,0.047302,8.216518,0.575694,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,4,asap,next_cycle,8,1,2,8,6,163,2,98.773006,5.246835,5.978365,0.73153,13.94231,0.053797,0.108173,0.054376,-101.076268,0.655854,0.747296,0.091442,13.942432,0.655854,active,stall_medium,mixed,W8_M8_F6,improved,worse
QFT,4,16,0,asap,next_cycle,8,1,2,8,4,77,7,90.909091,3.208333,3.923567,0.715234,22.29301,0.098958,0.401274,0.302316,-305.499303,0.401042,0.490446,0.089404,22.292927,0.401042,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QFT,4,16,0,asap,next_cycle,8,1,2,8,5,77,7,90.909091,3.581395,4.850394,1.268999,35.433092,0.200581,0.307087,0.106506,-53.098748,0.447674,0.606299,0.158625,35.43315,0.447674,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QFT,4,16,1,asap,next_cycle,8,1,2,8,4,77,7,90.909091,3.2,3.923567,0.723567,22.611469,0.093506,0.43949,0.345984,-370.01262,0.4,0.490446,0.090446,22.6115,0.4,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QFT,4,16,1,asap,next_cycle,8,1,2,8,5,77,7,90.909091,3.571014,4.850394,1.27938,35.826799,0.194203,0.34252,0.148317,-76.372147,0.446377,0.606299,0.159922,35.826667,0.446377,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QFT,4,16,2,asap,next_cycle,8,1,2,8,4,77,8,89.61039,3.21671,3.911111,0.694401,21.587305,0.143603,0.444444,0.300841,-209.494927,0.402089,0.488889,0.0868,21.587261,0.402089,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QFT,4,16,2,asap,next_cycle,8,1,2,8,5,77,8,89.61039,3.591837,4.831373,1.239536,34.509807,0.198251,0.317647,0.119396,-60.224665,0.44898,0.603922,0.154942,34.509778,0.44898,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QFT,4,16,3,asap,next_cycle,8,1,2,8,4,77,7,90.909091,3.2,3.911111,0.711111,22.222219,0.103896,0.44127,0.337374,-324.7228,0.4,0.488889,0.088889,22.22225,0.4,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QFT,4,16,3,asap,next_cycle,8,1,2,8,5,77,7,90.909091,3.571014,4.850394,1.27938,35.826799,0.202899,0.326772,0.123873,-61.051558,0.446377,0.606299,0.159922,35.826667,0.446377,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QFT,4,16,4,asap,next_cycle,8,1,2,8,4,77,8,89.61039,3.2,3.923567,0.723567,22.611469,0.096104,0.407643,0.311539,-324.168609,0.4,0.490446,0.090446,22.6115,0.4,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QFT,4,16,4,asap,next_cycle,8,1,2,8,5,77,8,89.61039,3.571014,4.869565,1.298551,36.363649,0.197101,0.300395,0.103294,-52.406634,0.446377,0.608696,0.162319,36.363657,0.446377,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QFT,6,36,0,asap,next_cycle,8,1,2,8,4,177,17,90.39548,3.815569,3.9825,0.166931,4.374996,0.037126,0.355,0.317874,-856.2032,0.476946,0.497812,0.020866,4.374919,0.476946,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QFT,6,36,0,asap,next_cycle,8,1,2,8,5,177,17,90.39548,4.644315,4.966485,0.32217,6.936868,0.049563,0.279034,0.229471,-462.98852,0.580539,0.620811,0.040272,6.937002,0.580539,active,stall_low,mixed,W8_M8_F5,improved,worse
QFT,6,36,0,asap,next_cycle,8,1,2,8,6,177,17,90.39548,5.40458,5.93849,0.53391,9.878843,0.068702,0.206897,0.138195,-201.151349,0.675573,0.742311,0.066738,9.878725,0.675573,active,stall_medium,mixed,W8_M8_F6,improved,worse
QFT,6,36,0,asap,next_cycle,8,1,2,8,7,177,17,90.39548,6.080153,6.911063,0.83091,13.665939,0.061069,0.117137,0.056068,-91.810902,0.760019,0.863883,0.103864,13.665974,0.760019,active,stall_medium,mixed,W8_M8_F7,improved,worse
QFT,6,36,1,asap,next_cycle,8,1,2,8,4,177,16,90.960452,3.817855,3.980012,0.162157,4.247333,0.029359,0.364147,0.334788,-1140.324943,0.477232,0.497502,0.02027,4.24741,0.477232,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QFT,6,36,1,asap,next_cycle,8,1,2,8,5,177,16,90.960452,4.647702,4.962617,0.314915,6.775714,0.035011,0.29595,0.260939,-745.305761,0.580963,0.620327,0.039364,6.775647,0.580963,active,stall_low,mixed,W8_M8_F5,improved,worse
QFT,6,36,1,asap,next_cycle,8,1,2,8,6,177,16,90.960452,5.40458,5.94403,0.53945,9.981349,0.067006,0.214552,0.147546,-220.198191,0.675573,0.743004,0.067431,9.981305,0.675573,active,stall_medium,mixed,W8_M8_F6,improved,worse
