algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F5,7,1.121305,6,0.857143,2,0.285714,0,0.0,weak
QAOA,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F6,7,2.078245,7,1.0,2,0.285714,0,0.0,weak
QAOA,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F7,1,23.849385,1,1.0,1,1.0,1,1.0,strong
QAOA,stall_aware_shifted_refined,stall_low,near_saturation,mixed,W8_M8_F7,5,3.641457,5,1.0,1,0.2,0,0.0,weak
QAOA,stall_aware_shifted_refined,stall_low,near_saturation,mixed,W8_M8_F8,3,6.239998,3,1.0,3,1.0,0,0.0,moderate
QAOA,stall_aware_shifted_refined,stall_low,saturated,mixed,W8_M8_F8,1,3.846158,1,1.0,0,0.0,0,0.0,weak
QAOA,stall_aware_shifted_refined,stall_low,underutilized,mixed,W8_M8_F4,10,0.440704,6,0.6,0,0.0,0,0.0,unlikely
QAOA,stall_aware_shifted_refined,stall_medium,active,mixed,W8_M8_F5,3,12.944981,3,1.0,3,1.0,0,0.0,moderate
QAOA,stall_aware_shifted_refined,stall_medium,active,mixed,W8_M8_F6,3,19.767458,3,1.0,3,1.0,1,0.333333,moderate
QAOA,stall_aware_shifted_refined,stall_medium,active,mixed,W8_M8_F7,3,31.623927,3,1.0,3,1.0,3,1.0,strong
QAOA,stall_aware_shifted_refined,stall_medium,near_saturation,mixed,W8_M8_F8,1,9.105432,1,1.0,1,1.0,0,0.0,moderate
QFT,asap,stall_high,underutilized,mixed,W8_M8_F5,5,35.826799,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F6,5,51.162812,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F7,5,70.430124,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_high,underutilized,mixed,W8_M8_F8,5,90.361461,5,1.0,5,1.0,5,1.0,strong
QFT,asap,stall_low,active,mixed,W8_M8_F5,2,6.856291,2,1.0,2,1.0,0,0.0,moderate
QFT,asap,stall_low,underutilized,mixed,W8_M8_F4,5,4.247333,5,1.0,0,0.0,0,0.0,weak
QFT,asap,stall_medium,active,mixed,W8_M8_F5,3,6.858938,3,1.0,3,1.0,0,0.0,moderate
QFT,asap,stall_medium,active,mixed,W8_M8_F6,5,9.981349,5,1.0,5,1.0,0,0.0,moderate
