dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,1,2,8,4,1614,461,3.501085,49,0.106291,0.437636
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,1,2,8,8,1614,321,5.028037,63,0.196262,0.628505
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,1,2,8,4,1614,461,3.501085,44,0.095445,0.437636
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,1,2,8,8,1614,321,5.028037,63,0.196262,0.628505
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,2,2,8,4,1614,494,3.267206,72,0.145749,0.408401
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,2,2,8,8,1614,391,4.127877,114,0.29156,0.515985
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,2,2,8,4,1614,496,3.254032,73,0.147177,0.406754
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,2,2,8,8,1614,391,4.127877,114,0.29156,0.515985
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,3,2,8,4,1614,536,3.011194,109,0.203358,0.376399
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,3,2,8,8,1614,468,3.448718,179,0.382479,0.43109
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,3,2,8,4,1614,539,2.994434,104,0.19295,0.374304
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,3,2,8,8,1614,468,3.448718,179,0.382479,0.43109
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,4,2,8,4,1614,583,2.768439,153,0.262436,0.346055
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,asap,next_cycle,8,4,2,8,8,1614,545,2.961468,244,0.447706,0.370183
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,4,2,8,4,1614,581,2.777969,137,0.2358,0.347246
QAOA_H6_Q36_s0_raw,raw,QAOA,6,36,0,76,76,2,ff_rate_matched,next_cycle,8,4,2,8,8,1614,545,2.961468,244,0.447706,0.370183
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,1,2,8,4,1596,424,3.764151,17,0.040094,0.470519
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,1,2,8,8,1596,307,5.198697,35,0.114007,0.649837
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,1,2,8,4,1596,423,3.77305,12,0.028369,0.471631
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,1,2,8,8,1596,307,5.198697,35,0.114007,0.649837
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,2,2,8,4,1596,455,3.507692,31,0.068132,0.438462
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,2,2,8,8,1596,378,4.222222,109,0.28836,0.527778
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,2,2,8,4,1596,458,3.484716,28,0.061135,0.43559
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,2,2,8,8,1596,378,4.222222,109,0.28836,0.527778
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,3,2,8,4,1596,496,3.217742,78,0.157258,0.402218
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,3,2,8,8,1596,451,3.538803,179,0.396896,0.44235
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,3,2,8,4,1596,499,3.198397,70,0.140281,0.3998
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,3,2,8,8,1596,451,3.538803,179,0.396896,0.44235
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,4,2,8,4,1596,551,2.896552,111,0.201452,0.362069
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,asap,next_cycle,8,4,2,8,8,1596,525,3.04,253,0.481905,0.38
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,4,2,8,4,1596,552,2.891304,115,0.208333,0.361413
QAOA_H6_Q36_s1_raw,raw,QAOA,6,36,1,73,73,2,ff_rate_matched,next_cycle,8,4,2,8,8,1596,525,3.04,253,0.481905,0.38
QAOA_H6_Q36_s2_raw,raw,QAOA,6,36,2,73,73,2,asap,next_cycle,8,1,2,8,4,1650,447,3.691275,20,0.044743,0.461409
QAOA_H6_Q36_s2_raw,raw,QAOA,6,36,2,73,73,2,asap,next_cycle,8,1,2,8,8,1650,306,5.392157,40,0.130719,0.67402
QAOA_H6_Q36_s2_raw,raw,QAOA,6,36,2,73,73,2,ff_rate_matched,next_cycle,8,1,2,8,4,1650,446,3.699552,21,0.047085,0.462444
