dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,2,4,324,165,1.963636,2,0.012121,0.490909
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,2,8,324,165,1.963636,2,0.012121,0.490909
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,4,4,324,118,2.745763,20,0.169492,0.686441
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,4,8,324,118,2.745763,20,0.169492,0.686441
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,8,4,324,118,2.745763,20,0.169492,0.686441
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,4,1,2,8,8,324,118,2.745763,20,0.169492,0.686441
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,1,4,324,327,0.990826,2,0.006116,0.123853
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,1,8,324,327,0.990826,2,0.006116,0.123853
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,2,4,324,168,1.928571,5,0.029762,0.241071
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,2,8,324,168,1.928571,5,0.029762,0.241071
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,4,4,324,124,2.612903,15,0.120968,0.326613
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,4,8,324,124,2.612903,15,0.120968,0.326613
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,8,4,324,121,2.677686,17,0.140496,0.334711
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,8,1,2,8,8,324,119,2.722689,54,0.453782,0.340336
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,1,4,324,327,0.990826,2,0.006116,0.123853
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,1,8,324,327,0.990826,2,0.006116,0.123853
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,2,4,324,165,1.963636,2,0.012121,0.245455
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,2,8,324,165,1.963636,2,0.012121,0.245455
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,4,4,324,118,2.745763,20,0.169492,0.34322
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,4,8,324,118,2.745763,20,0.169492,0.34322
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,8,4,324,119,2.722689,17,0.142857,0.340336
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,greedy_critical,next_cycle,8,1,2,8,8,324,116,2.793103,57,0.491379,0.349138
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,1,4,318,322,0.987578,3,0.009317,0.246894
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,1,8,318,322,0.987578,3,0.009317,0.246894
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,2,4,318,173,1.83815,7,0.040462,0.459538
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,2,8,318,173,1.83815,7,0.040462,0.459538
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,4,4,318,149,2.134228,43,0.288591,0.533557
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,4,8,318,149,2.134228,43,0.288591,0.533557
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,8,4,318,149,2.134228,43,0.288591,0.533557
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,4,1,2,8,8,318,149,2.134228,43,0.288591,0.533557
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,1,4,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,1,8,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,2,4,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,2,8,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,4,4,318,141,2.255319,47,0.333333,0.56383
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,4,8,318,141,2.255319,47,0.333333,0.56383
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,8,4,318,141,2.255319,47,0.333333,0.56383
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,4,1,2,8,8,318,141,2.255319,47,0.333333,0.56383
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,1,4,318,322,0.987578,3,0.009317,0.123447
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,1,8,318,322,0.987578,3,0.009317,0.123447
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,2,4,318,173,1.83815,7,0.040462,0.229769
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,2,8,318,173,1.83815,7,0.040462,0.229769
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,4,4,318,149,2.134228,43,0.288591,0.266779
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,4,8,318,149,2.134228,43,0.288591,0.266779
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,8,4,318,146,2.178082,46,0.315068,0.27226
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,asap,next_cycle,8,1,2,8,8,318,142,2.239437,77,0.542254,0.27993
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,1,4,318,321,0.990654,2,0.006231,0.123832
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,1,8,318,321,0.990654,2,0.006231,0.123832
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,2,4,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,2,8,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,4,4,318,141,2.255319,47,0.333333,0.281915
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,4,8,318,141,2.255319,47,0.333333,0.281915
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,8,4,318,141,2.255319,50,0.35461,0.281915
QAOA_H4_Q16_s2,QAOA,4,16,2,34,2,greedy_critical,next_cycle,8,1,2,8,8,318,140,2.271429,79,0.564286,0.283929
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,1,4,318,323,0.98452,4,0.012384,0.24613
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,1,8,318,323,0.98452,4,0.012384,0.24613
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,2,4,318,177,1.79661,14,0.079096,0.449153
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,2,8,318,177,1.79661,14,0.079096,0.449153
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,4,4,318,134,2.373134,30,0.223881,0.593284
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,4,8,318,134,2.373134,30,0.223881,0.593284
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,8,4,318,134,2.373134,30,0.223881,0.593284
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,4,1,2,8,8,318,134,2.373134,30,0.223881,0.593284
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,1,4,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,1,8,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,2,4,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,2,8,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,4,4,318,129,2.465116,31,0.24031,0.616279
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,4,8,318,129,2.465116,31,0.24031,0.616279
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,8,4,318,129,2.465116,31,0.24031,0.616279
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,4,1,2,8,8,318,129,2.465116,31,0.24031,0.616279
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,1,4,318,323,0.98452,4,0.012384,0.123065
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,1,8,318,323,0.98452,4,0.012384,0.123065
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,2,4,318,177,1.79661,14,0.079096,0.224576
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,2,8,318,177,1.79661,14,0.079096,0.224576
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,4,4,318,134,2.373134,30,0.223881,0.296642
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,4,8,318,134,2.373134,30,0.223881,0.296642
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,8,4,318,134,2.373134,39,0.291045,0.296642
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,asap,next_cycle,8,1,2,8,8,318,129,2.465116,58,0.449612,0.30814
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,1,4,318,321,0.990654,2,0.006231,0.123832
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,1,8,318,321,0.990654,2,0.006231,0.123832
