algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,6,36,asap,next_cycle,4,1,2,8,4,5,1614.0,446.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0
QAOA,6,36,asap,next_cycle,4,1,2,8,8,5,1614.0,446.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0
QAOA,6,36,asap,next_cycle,8,1,2,1,4,5,1614.0,1622.0,0.995175,0.994287,0.996649,0.004222,0.002737,0.00508,0.124397,76.0
QAOA,6,36,asap,next_cycle,8,1,2,1,8,5,1614.0,1622.0,0.995175,0.994287,0.996649,0.004222,0.002737,0.00508,0.124397,76.0
QAOA,6,36,asap,next_cycle,8,1,2,2,4,5,1614.0,833.0,1.966581,1.950931,1.984279,0.010283,0.006039,0.017357,0.245823,76.0
QAOA,6,36,asap,next_cycle,8,1,2,2,8,5,1614.0,833.0,1.966581,1.950931,1.984279,0.010283,0.006039,0.017357,0.245823,76.0
QAOA,6,36,asap,next_cycle,8,1,2,4,4,5,1614.0,446.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.451061,76.0
QAOA,6,36,asap,next_cycle,8,1,2,4,8,5,1614.0,446.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.451061,76.0
QAOA,6,36,asap,next_cycle,8,1,2,8,4,5,1614.0,447.0,3.608491,3.520929,3.727713,0.073113,0.042418,0.094991,0.451061,76.0
QAOA,6,36,asap,next_cycle,8,1,2,8,8,5,1614.0,319.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,1,4,5,1614.0,1617.0,0.998145,0.998084,0.998185,0.001237,0.00121,0.001278,0.249536,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,1,8,5,1614.0,1617.0,0.998145,0.998084,0.998185,0.001237,0.00121,0.001278,0.249536,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,2,4,5,1614.0,810.0,1.992593,1.992349,1.992754,0.002469,0.002415,0.00255,0.498148,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,2,8,5,1614.0,810.0,1.992593,1.992349,1.992754,0.002469,0.002415,0.00255,0.498148,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,4,4,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.990933,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,4,8,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.990933,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,8,4,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.990933,76.0
QAOA,6,36,greedy_critical,next_cycle,4,1,2,8,8,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.990933,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,1,4,5,1614.0,1617.0,0.998145,0.998084,0.998185,0.001237,0.00121,0.001278,0.124768,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,1,8,5,1614.0,1617.0,0.998145,0.998084,0.998185,0.001237,0.00121,0.001278,0.124768,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,2,4,5,1614.0,810.0,1.992593,1.992349,1.992754,0.002469,0.002415,0.00255,0.249074,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,2,8,5,1614.0,810.0,1.992593,1.992349,1.992754,0.002469,0.002415,0.00255,0.249074,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,4,4,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.495466,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,4,8,5,1614.0,410.0,3.963731,3.927912,3.968248,0.004878,0.004779,0.005078,0.495466,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,4,5,1614.0,439.0,3.686747,3.590807,3.79294,0.057831,0.032311,0.072598,0.460843,76.0
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,8,5,1614.0,308.0,5.24026,4.882022,5.47403,0.243506,0.205688,0.263591,0.655032,76.0
QAOA,8,64,asap,next_cycle,4,1,2,1,4,5,4962.0,4968.0,0.998797,0.998579,0.998984,0.001003,0.000813,0.001217,0.249699,142.0
QAOA,8,64,asap,next_cycle,4,1,2,1,8,5,4962.0,4968.0,0.998797,0.998579,0.998984,0.001003,0.000813,0.001217,0.249699,142.0
QAOA,8,64,asap,next_cycle,4,1,2,2,4,5,4962.0,2497.0,1.987185,1.983115,1.98988,0.004405,0.003445,0.006231,0.496796,142.0
QAOA,8,64,asap,next_cycle,4,1,2,2,8,5,4962.0,2497.0,1.987185,1.983115,1.98988,0.004405,0.003445,0.006231,0.496796,142.0
QAOA,8,64,asap,next_cycle,4,1,2,4,4,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.961717,142.0
