algorithm,issue_width,policy,case_count,inactive_case_count,inactive_case_rate,max_width_profile_count
QAOA,8,asap,60,0,0.0,2
QAOA,8,greedy_critical,60,0,0.0,2
QAOA,8,shifted_critical,60,0,0.0,2
QAOA,8,stall_aware_shifted,60,0,0.0,2
QFT,8,asap,40,0,0.0,2
QFT,8,greedy_critical,40,0,0.0,2
QFT,8,shifted_critical,40,0,0.0,2
QFT,8,stall_aware_shifted,40,0,0.0,2
VQE,8,asap,60,0,0.0,2
VQE,8,greedy_critical,60,0,0.0,2
VQE,8,shifted_critical,60,0,0.0,2
VQE,8,stall_aware_shifted,60,0,0.0,2
