algorithm,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,600,5,97.368421,26.086321,6.986555,72.82609,79.965825,26.086407,3.778532,0.114119,598,2,0,0.0
QFT,400,5,90.652286,18.421055,7.34091,45.479126,76.687155,18.421033,3.86087,0.097886,400,0,0,0.0
VQE,600,5,97.142857,3.363908,0.486764,18.046142,0.0,3.363934,3.976699,0.021466,530,70,0,0.0
