algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,8,3,1,2,0.187500,3941,3941,1.000000,2.997716,2.997716,0.000000,0.402943,0.000761,-0.402182
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,8,4,1,2,0.250000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.269868,0.001015,-0.268853
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,16,2,1,2,0.250000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.567682,0.000846,-0.566836
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,16,3,1,2,0.375000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.402943,0.000761,-0.402182
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,16,4,1,2,0.500000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.269868,0.001015,-0.268853
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,4,2,1,2,0.250000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,4,3,1,2,0.375000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,4,4,1,2,0.500000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,8,2,1,2,0.250000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.567682,0.000846,-0.566836
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,8,3,1,2,0.375000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.402943,0.000761,-0.402182
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,8,8,4,1,2,0.500000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.269868,0.001015,-0.268853
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,16,2,1,2,0.125000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.643917,0.001484,-0.642433
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,16,3,1,2,0.187500,4045,4045,1.000000,2.997775,2.997775,0.000000,0.49864,0.001483,-0.497157
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,16,4,1,2,0.250000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.366722,0.001647,-0.365075
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,4,2,1,2,0.125000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.396802,0.000495,-0.396307
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,4,3,1,2,0.187500,4045,4045,1.000000,2.997775,2.997775,0.000000,0.191842,0.000494,-0.191348
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,4,4,1,2,0.250000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.000659,0.000659,0.000000
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,8,2,1,2,0.125000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.563469,0.000824,-0.562645
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,8,3,1,2,0.187500,4045,4045,1.000000,2.997775,2.997775,0.000000,0.402719,0.000742,-0.401977
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,16,8,4,1,2,0.250000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.271829,0.000988,-0.270841
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,16,2,1,2,0.500000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.396802,0.000495,-0.396307
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,16,3,1,2,0.750000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.191842,0.000494,-0.191348
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,16,4,1,2,1.000000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.000659,0.000659,0.000000
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,4,2,1,2,0.500000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.396802,0.000495,-0.396307
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,4,3,1,2,0.750000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.191842,0.000494,-0.191348
