algorithm,policy,width_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QFT,asap,W4_M8_F4,40,5,90.652286,9.260503,4.247333,22.29301,91.411238,9.260478,3.626759,0.048624,40,0,0,0.0
QFT,asap,W4_M8_F8,40,5,90.652286,9.260503,4.247333,22.29301,91.411238,9.260478,3.626759,0.048624,40,0,0,0.0
QFT,asap,W8_M4_F4,40,5,90.652286,9.260503,4.247333,22.29301,91.411238,9.260472,3.626759,0.048624,40,0,0,0.0
QFT,asap,W8_M4_F8,40,5,90.652286,9.260503,4.247333,22.29301,91.411238,9.260472,3.626759,0.048624,40,0,0,0.0
QFT,asap,W8_M8_F4,40,5,90.652286,9.229333,4.247333,22.29301,-727.362378,9.229375,3.627841,0.047653,40,0,0,0.0
QFT,asap,W8_M8_F8,40,5,90.652286,39.187145,17.632562,90.361461,91.246958,39.18712,5.594259,0.186947,40,0,0,0.0
QFT,greedy_critical,W4_M4_F4,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.56825,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W4_M4_F8,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.56825,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W4_M8_F4,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.56825,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W4_M8_F8,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.56825,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W8_M4_F4,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.568362,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W8_M4_F8,40,5,90.652286,6.568264,2.819548,17.684901,93.035114,6.568362,3.737495,0.036272,40,0,0,0.0
QFT,greedy_critical,W8_M8_F4,40,5,90.652286,8.725967,4.065049,21.405753,-723.375763,8.725967,3.647576,0.053477,40,0,0,0.0
QFT,greedy_critical,W8_M8_F8,40,5,90.652286,37.243113,14.750008,100.0,96.658158,37.243118,5.83297,0.176444,40,0,0,0.0
VQE,asap,W4_M4_F4,60,5,97.142857,4.281339,1.800269,16.508381,71.852912,4.281338,3.800587,0.02346,60,0,0,0.0
VQE,asap,W4_M4_F8,60,5,97.142857,4.281339,1.800269,16.508381,71.852912,4.281338,3.800587,0.02346,60,0,0,0.0
VQE,asap,W4_M8_F4,60,5,97.142857,4.281339,1.800269,16.508381,71.852912,4.281338,3.800587,0.02346,60,0,0,0.0
VQE,asap,W4_M8_F8,60,5,97.142857,4.281339,1.800269,16.508381,71.852912,4.281338,3.800587,0.02346,60,0,0,0.0
VQE,asap,W8_M4_F4,60,5,97.142857,4.281339,1.800269,16.508381,71.852912,4.281447,3.800587,0.02346,60,0,0,0.0
