dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,QFT,asap,mixed,W8_M4_F8,30,5,3.817855,0.027578,0.477232
raw,QFT,asap,mixed,W8_M8_F4,30,5,3.817855,0.031156,0.477232
raw,QFT,asap,mixed,W8_M8_F8,30,5,6.679245,0.10808,0.834906
raw,QFT,greedy_critical,l1_l1,W4_M4_F4,15,5,3.952854,0.001861,0.988213
raw,QFT,greedy_critical,l1_l1,W4_M4_F8,15,5,3.952854,0.001861,0.988213
raw,QFT,greedy_critical,l1_l1,W4_M8_F4,15,5,3.952854,0.001861,0.988213
raw,QFT,greedy_critical,l1_l1,W4_M8_F8,15,5,3.952854,0.001861,0.988213
raw,QFT,greedy_critical,l1_l1,W8_M4_F4,15,5,3.952854,0.001861,0.494107
raw,QFT,greedy_critical,l1_l1,W8_M4_F8,15,5,3.952854,0.001861,0.494107
raw,QFT,greedy_critical,l1_l1,W8_M8_F4,15,5,3.909202,0.01227,0.48865
raw,QFT,greedy_critical,l1_l1,W8_M8_F8,15,5,7.400697,0.034843,0.925087
raw,QFT,greedy_critical,l2_l2,W4_M4_F4,15,5,3.797378,0.032777,0.949344
raw,QFT,greedy_critical,l2_l2,W4_M4_F8,15,5,3.797378,0.032777,0.949344
raw,QFT,greedy_critical,l2_l2,W4_M8_F4,15,5,3.797378,0.032777,0.949344
raw,QFT,greedy_critical,l2_l2,W4_M8_F8,15,5,3.797378,0.032777,0.949344
raw,QFT,greedy_critical,l2_l2,W8_M4_F4,15,5,3.797378,0.032777,0.474672
raw,QFT,greedy_critical,l2_l2,W8_M4_F8,15,5,3.797378,0.032777,0.474672
raw,QFT,greedy_critical,l2_l2,W8_M8_F4,15,5,3.726316,0.053185,0.465789
raw,QFT,greedy_critical,l2_l2,W8_M8_F8,15,5,6.423387,0.139113,0.802923
raw,QFT,greedy_critical,mixed,W4_M4_F4,30,5,3.882998,0.014625,0.97075
raw,QFT,greedy_critical,mixed,W4_M4_F8,30,5,3.882998,0.014625,0.97075
raw,QFT,greedy_critical,mixed,W4_M8_F4,30,5,3.882998,0.014625,0.97075
raw,QFT,greedy_critical,mixed,W4_M8_F8,30,5,3.882998,0.014625,0.97075
raw,QFT,greedy_critical,mixed,W8_M4_F4,30,5,3.882998,0.014625,0.485375
raw,QFT,greedy_critical,mixed,W8_M4_F8,30,5,3.882998,0.014625,0.485375
raw,QFT,greedy_critical,mixed,W8_M8_F4,30,5,3.829327,0.024053,0.478666
raw,QFT,greedy_critical,mixed,W8_M8_F8,30,5,6.941176,0.081699,0.867647
