algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,1,asap,next_cycle,4,1,2,4,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M4_F8
QAOA,4,16,1,asap,next_cycle,4,1,2,8,4,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M8_F4
QAOA,4,16,1,asap,next_cycle,4,1,2,8,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M8_F8
QAOA,4,16,1,asap,next_cycle,4,2,1,4,4,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M4_F4
QAOA,4,16,1,asap,next_cycle,4,2,1,4,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M4_F8
QAOA,4,16,1,asap,next_cycle,4,2,1,8,4,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M8_F4
QAOA,4,16,1,asap,next_cycle,4,2,1,8,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.653226,0.952941,0.299715,45.882283,0.653226,active,stall_medium,mixed,W4_M8_F8
QAOA,4,16,1,asap,next_cycle,4,2,2,4,4,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.532895,0.931034,0.398139,74.712467,0.532895,active,stall_high,l2_l2,W4_M4_F4
QAOA,4,16,1,asap,next_cycle,4,2,2,4,8,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.532895,0.931034,0.398139,74.712467,0.532895,active,stall_high,l2_l2,W4_M4_F8
QAOA,4,16,1,asap,next_cycle,4,2,2,8,4,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.532895,0.931034,0.398139,74.712467,0.532895,active,stall_high,l2_l2,W4_M8_F4
QAOA,4,16,1,asap,next_cycle,4,2,2,8,8,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.532895,0.931034,0.398139,74.712467,0.532895,active,stall_high,l2_l2,W4_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,1,4,4,28,2,92.857143,3.306122,3.903614,0.597492,18.072291,0.030612,0.012048,-0.018564,60.642885,0.413265,0.487952,0.074687,18.072423,0.413265,underutilized,stall_low,l1_l1,W8_M4_F4
