algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
VQE,latency_profile,mixed,480,5,97.142857,1.363187,0.0,5.359105,0.0,1.36316,3.930905,0.02346,280,200,0,0.0
VQE,policy,asap,480,5,97.142857,4.587151,2.237352,20.895531,70.316623,4.587246,3.800587,0.02346,480,0,0,0.0
VQE,policy,greedy_critical,480,5,97.142857,0.0,0.0,0.0,0.0,0.0,3.963303,0.006436,115,365,0,0.0
VQE,raw_saturation_bucket,active,85,5,93.333333,28.143707,20.895531,31.884052,69.77573,28.143787,3.160494,0.098765,85,0,0,0.0
VQE,raw_saturation_bucket,near_saturation,95,5,97.142857,12.121231,7.012199,15.942031,73.054135,12.121198,3.692308,0.040541,95,0,0,0.0
VQE,raw_saturation_bucket,saturated,400,5,97.142857,0.0,0.0,1.363187,0.0,0.0,3.956268,0.007685,145,255,0,0.0
VQE,raw_saturation_bucket,underutilized,380,5,97.142857,2.334626,0.0,12.878805,0.0,2.334523,3.851488,0.015152,270,110,0,0.0
VQE,raw_stall_bucket,stall_high,35,5,93.333333,81.081061,72.972975,105.128219,76.331385,81.081087,3.820896,0.325,35,0,0,0.0
VQE,raw_stall_bucket,stall_low,745,5,97.142857,0.779741,0.0,2.453972,0.0,0.779741,3.934678,0.008982,380,365,0,0.0
VQE,raw_stall_bucket,stall_medium,180,5,93.333333,20.895531,16.926253,25.708429,69.56537,20.895607,3.160494,0.098765,180,0,0,0.0
VQE,width_profile,W4_M4_F4,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.071451,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W4_M4_F8,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.071451,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W4_M8_F4,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.071451,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W4_M8_F8,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.071451,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W8_M4_F4,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.0714,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W8_M4_F8,120,5,97.142857,1.071464,0.0,5.646769,61.989189,1.0714,3.88874,0.010757,65,55,0,0.0
VQE,width_profile,W8_M8_F4,120,5,97.142857,4.128436,1.557173,15.773426,-2081.87025,4.128489,3.806373,0.021666,120,0,0,0.0
VQE,width_profile,W8_M8_F8,120,5,97.142857,9.834089,0.0,59.343631,72.730063,9.834095,7.18011,0.035956,85,35,0,0.0
