algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,200,5,94.117647,109.01724,60.674187,197.955754,76.263475,109.017499,2.306213,0.392523,200,0,0,0.0
QAOA,6,36,200,5,97.368421,19.54097,9.374984,54.178577,87.499737,19.540996,3.893136,0.104701,200,0,0,0.0
QAOA,8,64,200,5,98.591549,6.239998,3.122507,14.423073,82.324462,6.240055,4.693329,0.034351,198,2,0,0.0
QFT,4,16,200,5,90.909091,45.479126,22.222219,90.909105,84.933175,45.479202,3.34074,0.210032,200,0,0,0.0
QFT,6,36,200,5,90.39548,7.34091,3.999998,17.343173,58.845669,7.340826,4.936157,0.048494,200,0,0,0.0
VQE,4,16,200,5,93.333333,35.962745,17.910474,72.972975,62.68625,35.962707,3.413333,0.100156,200,0,0,0.0
VQE,6,36,200,5,97.142857,3.363908,0.61302,7.784431,0.0,3.363934,5.003647,0.017938,170,30,0,0.0
VQE,8,64,200,5,98.412698,0.486764,0.194556,1.55793,0.0,0.486758,5.623424,0.005825,160,40,0,0.0
