algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,0,regime_switch,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.54,1.686597,91.000015,0.413613,0.1,-0.313613,75.82281,0.231675,0.4425,0.210825,91.000324,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,regime_switch,next_cycle,8,2,2,8,8,37,2,94.594595,1.84375,6.807692,4.963942,269.230753,0.572917,0.057692,-0.515225,89.930129,0.230469,0.850962,0.620493,269.230569,0.230469,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.340659,0.196591,-136.45709,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,7.531915,4.426652,142.553207,0.350877,0.021277,-0.3296,93.936052,0.388158,0.941489,0.553331,142.553033,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.315217,0.047243,-17.629695,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.315217,0.047243,-17.629695,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.408377,0.301075,-0.107302,26.275231,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,7.08,5.216842,279.999979,0.610526,0.06,-0.550526,90.172409,0.232895,0.885,0.652105,279.999571,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,1,8,4,37,2,94.594595,2.97479,3.726316,0.751526,25.263161,0.109244,0.052632,-0.056612,51.82161,0.371849,0.465789,0.09394,25.262943,0.371849,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,6.941176,3.835913,123.529408,0.350877,0.078431,-0.272446,77.647153,0.388158,0.867647,0.479489,123.529336,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,4,37,2,94.594595,2.298701,3.649485,1.350784,58.762927,0.279221,0.072165,-0.207056,74.154881,0.287338,0.456186,0.168848,58.762851,0.287338,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,6.941176,4.612229,198.039243,0.513158,0.078431,-0.434727,84.716013,0.291118,0.867647,0.576529,198.039627,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,1,8,4,37,2,94.594595,2.298701,3.649485,1.350784,58.762927,0.272727,0.072165,-0.200562,73.539474,0.287338,0.456186,0.168848,58.762851,0.287338,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,6.941176,4.612229,198.039243,0.513158,0.078431,-0.434727,84.716013,0.291118,0.867647,0.576529,198.039627,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.54,1.686597,91.000015,0.413613,0.1,-0.313613,75.82281,0.231675,0.4425,0.210825,91.000324,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,6.555556,4.692398,251.851856,0.610526,0.111111,-0.499415,81.800775,0.232895,0.819444,0.586549,251.851263,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.903614,0.563408,16.867463,0.061856,0.168675,0.106819,-172.689796,0.417526,0.487952,0.070426,16.867453,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,1,8,8,28,2,92.857143,3.6,7.363636,3.763636,104.545444,0.277778,0.022727,-0.255051,91.818287,0.45,0.920455,0.470455,104.545556,0.45,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,2,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,1,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,2,8,4,28,2,92.857143,2.16,3.724138,1.564138,72.413796,0.34,0.183908,-0.156092,45.909412,0.27,0.465517,0.195517,72.413704,0.27,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,2,8,8,28,2,92.857143,2.189189,6.75,4.560811,208.33336,0.560811,0.0625,-0.498311,88.855425,0.273649,0.84375,0.570101,208.332937,0.273649,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.325301,0.261471,-409.636535,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4
