algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,320,5,94.117647,69.879516,42.517935,104.960913,89.972952,69.879574,2.306213,0.275168,320,0,0,0.0
QAOA,6,36,320,5,97.368421,5.386918,0.997503,13.022103,78.254596,5.386944,3.834586,0.034641,254,66,0,0.0
QAOA,8,64,320,5,98.591549,2.08501,0.0,4.407071,0.0,2.084959,3.952769,0.012618,205,115,0,0.0
QFT,4,16,320,5,90.909091,22.222219,17.04182,32.14523,91.895152,22.22225,3.31269,0.099217,320,0,0,0.0
QFT,6,36,320,5,90.39548,4.247333,2.756883,5.86725,91.520348,4.247305,3.882998,0.025764,320,0,0,0.0
VQE,4,16,320,5,93.333333,16.926253,0.0,25.708429,61.352889,16.926274,3.326919,0.098765,230,90,0,0.0
VQE,6,36,320,5,97.142857,2.453972,0.0,4.281339,0.0,2.454023,3.939247,0.01049,185,135,0,0.0
VQE,8,64,320,5,98.412698,0.779741,0.0,1.363187,0.0,0.779741,3.980568,0.0034,180,140,0,0.0
