algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,4,16,asap,next_cycle,8,2,2,4,4,5,5,34.0,2.0,94.117647,1.806122,3.741176,1.935054,107.13861,0.305556,0.035294,-0.270262,88.449253,0.225765,0.467647,0.241882,107.138839
QAOA,4,16,asap,next_cycle,8,2,2,4,8,5,5,34.0,2.0,94.117647,1.806122,3.741176,1.935054,107.13861,0.305556,0.035294,-0.270262,88.449253,0.225765,0.467647,0.241882,107.138839
QAOA,4,16,asap,next_cycle,8,2,2,8,4,5,5,34.0,2.0,94.117647,1.806122,3.741176,1.935054,107.13861,0.370166,0.183908,-0.186258,50.317425,0.225765,0.467647,0.241882,107.138839
QAOA,4,16,asap,next_cycle,8,2,2,8,8,5,5,34.0,2.0,94.117647,1.84375,6.765957,4.922207,266.967159,0.572917,0.06383,-0.509087,88.85877,0.230469,0.845745,0.615276,266.966924
QAOA,4,16,greedy_critical,next_cycle,4,1,1,4,4,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.769565,0.969512,0.199947,25.981821
QAOA,4,16,greedy_critical,next_cycle,4,1,1,4,8,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.769565,0.969512,0.199947,25.981821
QAOA,4,16,greedy_critical,next_cycle,4,1,1,8,4,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.769565,0.969512,0.199947,25.981821
QAOA,4,16,greedy_critical,next_cycle,4,1,1,8,8,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.769565,0.969512,0.199947,25.981821
QAOA,4,16,greedy_critical,next_cycle,4,1,2,4,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,1,2,4,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,1,2,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,1,2,8,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,2,1,4,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,2,1,4,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,2,1,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,2,1,8,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.578431,0.957831,0.3794,65.591229
QAOA,4,16,greedy_critical,next_cycle,4,2,2,4,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.463351,0.946429,0.483078,104.257464
QAOA,4,16,greedy_critical,next_cycle,4,2,2,4,8,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.463351,0.946429,0.483078,104.257464
QAOA,4,16,greedy_critical,next_cycle,4,2,2,8,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.463351,0.946429,0.483078,104.257464
QAOA,4,16,greedy_critical,next_cycle,4,2,2,8,8,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.463351,0.946429,0.483078,104.257464
