algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,1,8,4,5,318.0,106.0,34.0,3.078261,3.0,3.4594,0.122642,0.051637,0.133048,0.769565,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,1,8,8,5,318.0,106.0,34.0,3.078261,3.0,3.4594,0.122642,0.051637,0.133048,0.769565,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,2,4,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,2,4,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,2,8,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,1,2,8,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,1,4,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,1,4,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,1,8,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,1,8,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.578431,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,2,4,4,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.463351,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,2,4,8,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.463351,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,2,8,4,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.463351,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,4,2,2,8,8,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.463351,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,1,4,4,5,318.0,106.0,34.0,3.078261,3.0,3.4594,0.122642,0.051637,0.133048,0.384783,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,1,4,8,5,318.0,106.0,34.0,3.078261,3.0,3.4594,0.122642,0.051637,0.133048,0.384783,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,1,8,4,5,318.0,108.0,34.0,3.0,2.904654,3.267094,0.157407,0.103949,0.181623,0.375,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,1,8,8,5,318.0,105.0,34.0,3.105263,3.028571,3.518319,0.395833,0.336358,0.409524,0.388158,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,2,4,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.289216,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,2,4,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.289216,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,2,8,4,5,318.0,141.0,34.0,2.313725,2.255319,2.593902,0.271318,0.205416,0.343971,0.289216,34.0,2.0
