algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,asap,next_cycle,1,2,2,,1,5,318.0,328.0,0.978462,0.969512,0.984207,0.018462,0.012883,0.027439,0.978462,34.0
QAOA,4,16,asap,next_cycle,1,2,2,,2,5,318.0,328.0,0.978462,0.969512,0.984207,0.018462,0.012883,0.027439,0.978462,34.0
QAOA,4,16,asap,next_cycle,1,2,2,,4,5,318.0,328.0,0.978462,0.969512,0.984207,0.018462,0.012883,0.027439,0.978462,34.0
QAOA,4,16,asap,next_cycle,1,2,2,,8,5,318.0,328.0,0.978462,0.969512,0.984207,0.018462,0.012883,0.027439,0.978462,34.0
QAOA,4,16,asap,next_cycle,1,2,3,,1,5,318.0,336.0,0.964578,0.940862,0.975665,0.032698,0.021296,0.05618,0.964578,34.0
QAOA,4,16,asap,next_cycle,1,2,3,,2,5,318.0,336.0,0.964578,0.940862,0.975665,0.032698,0.021296,0.05618,0.964578,34.0
QAOA,4,16,asap,next_cycle,1,2,3,,4,5,318.0,336.0,0.964578,0.940862,0.975665,0.032698,0.021296,0.05618,0.964578,34.0
QAOA,4,16,asap,next_cycle,1,2,3,,8,5,318.0,336.0,0.964578,0.940862,0.975665,0.032698,0.021296,0.05618,0.964578,34.0
QAOA,4,16,asap,next_cycle,2,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.21875,0.20237,0.221021,0.496875,34.0
QAOA,4,16,asap,next_cycle,2,1,1,,2,5,318.0,167.0,1.934426,1.892924,1.957317,0.017751,0.011246,0.021123,0.967213,34.0
QAOA,4,16,asap,next_cycle,2,1,1,,4,5,318.0,167.0,1.934426,1.892924,1.957317,0.017751,0.011246,0.021123,0.967213,34.0
QAOA,4,16,asap,next_cycle,2,1,1,,8,5,318.0,167.0,1.934426,1.892924,1.957317,0.017751,0.011246,0.021123,0.967213,34.0
QAOA,4,16,asap,next_cycle,2,1,2,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.22291,0.204127,0.224276,0.493789,34.0
QAOA,4,16,asap,next_cycle,2,1,2,,2,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,1,2,,4,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,1,2,,8,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,1,3,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.22561,0.2028,0.233679,0.489231,34.0
QAOA,4,16,asap,next_cycle,2,1,3,,2,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
QAOA,4,16,asap,next_cycle,2,1,3,,4,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
QAOA,4,16,asap,next_cycle,2,1,3,,8,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
QAOA,4,16,asap,next_cycle,2,2,1,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.22291,0.204127,0.224276,0.493789,34.0
QAOA,4,16,asap,next_cycle,2,2,1,,2,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,2,1,,4,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,2,1,,8,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.919075,34.0
QAOA,4,16,asap,next_cycle,2,2,2,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.22561,0.2028,0.233679,0.489231,34.0
QAOA,4,16,asap,next_cycle,2,2,2,,2,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
