dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,issue_width,l_meas,l_ff,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,8,3,5,12096,1790,6.757542,242,0.135196,0.844693
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,8,3,5,12096,2019,5.991085,288,0.142645,0.748886
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,1,1,12096,820,14.75122,19,0.023171,0.921951
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,1,1,12096,899,13.45495,22,0.024472,0.840934
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,1,1,12096,781,15.487836,7,0.008963,0.96799
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,1,1,12096,815,14.841718,19,0.023313,0.927607
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,1,2,12096,898,13.469933,69,0.076837,0.841871
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,1,2,12096,965,12.534715,70,0.072539,0.78342
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,1,2,12096,830,14.573494,46,0.055422,0.910843
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,1,2,12096,904,13.380531,66,0.073009,0.836283
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,1,3,12096,1007,12.011917,152,0.150943,0.750745
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,1,3,12096,1061,11.400566,154,0.145146,0.712535
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,1,3,12096,895,13.515084,105,0.117318,0.844693
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,1,3,12096,1005,12.035821,151,0.150249,0.752239
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,1,5,12096,1328,9.108434,351,0.264307,0.569277
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,1,5,12096,1346,8.986627,359,0.266716,0.561664
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,1,5,12096,1309,9.240642,457,0.349121,0.57754
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,1,5,12096,1327,9.115298,375,0.282592,0.569706
