dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,1,2,3,,8,354,367,0.964578,12,0.032698,0.964578
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,1,2,3,,1,354,359,0.986072,4,0.011142,0.986072
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,1,2,3,,2,354,359,0.986072,4,0.011142,0.986072
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,1,2,3,,4,354,359,0.986072,4,0.011142,0.986072
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,1,2,3,,8,354,359,0.986072,4,0.011142,0.986072
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,1,,1,354,356,0.994382,74,0.207865,0.497191
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,1,,2,354,183,1.934426,3,0.016393,0.967213
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,1,,4,354,183,1.934426,3,0.016393,0.967213
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,1,,8,354,183,1.934426,3,0.016393,0.967213
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,1,,1,354,356,0.994382,49,0.13764,0.497191
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,1,,2,354,179,1.977654,1,0.005587,0.988827
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,1,,4,354,179,1.977654,1,0.005587,0.988827
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,1,,8,354,179,1.977654,1,0.005587,0.988827
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,2,,1,354,358,0.988827,75,0.209497,0.494413
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,2,,2,354,191,1.853403,6,0.031414,0.926702
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,2,,4,354,191,1.853403,6,0.031414,0.926702
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,2,,8,354,191,1.853403,6,0.031414,0.926702
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,2,,1,354,358,0.988827,51,0.142458,0.494413
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,2,,2,354,180,1.966667,2,0.011111,0.983333
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,2,,4,354,180,1.966667,2,0.011111,0.983333
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,2,,8,354,180,1.966667,2,0.011111,0.983333
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,3,,1,354,361,0.980609,72,0.199446,0.490305
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,3,,2,354,214,1.654206,24,0.11215,0.827103
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,3,,4,354,214,1.654206,24,0.11215,0.827103
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,2,1,3,,8,354,214,1.654206,24,0.11215,0.827103
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,3,,1,354,361,0.980609,53,0.146814,0.490305
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,3,,2,354,195,1.815385,15,0.076923,0.907692
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,2,1,3,,4,354,195,1.815385,15,0.076923,0.907692
