algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,4,16,3,QAOA_H4_Q16_s3_shifted,8,8,4,1,2,0.500000,83,83,1.000000,3.831325,3.831325,0.000000,0.144578,0.024096,-0.120482
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,16,16,2,1,2,0.125000,162,162,1.000000,1.962963,1.962963,0.000000,0.567901,0.049383,-0.518518
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,16,16,3,1,2,0.187500,109,109,1.000000,2.917431,2.917431,0.000000,0.394495,0.036697,-0.357798
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,16,16,4,1,2,0.250000,83,83,1.000000,3.831325,3.831325,0.000000,0.228916,0.024096,-0.204820
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,4,4,2,1,2,0.500000,162,162,1.000000,1.962963,1.962963,0.000000,0.358025,0.018519,-0.339506
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,4,4,3,1,2,0.750000,109,109,1.000000,2.917431,2.917431,0.000000,0.137615,0.018349,-0.119266
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,4,4,4,1,2,1.000000,83,83,1.000000,3.831325,3.831325,0.000000,0.024096,0.024096,0.000000
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,8,8,2,1,2,0.250000,162,162,1.000000,1.962963,1.962963,0.000000,0.487654,0.030864,-0.456790
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,8,8,3,1,2,0.375000,109,109,1.000000,2.917431,2.917431,0.000000,0.311927,0.027523,-0.284404
QAOA,4,16,4,QAOA_H4_Q16_s4_shifted,8,8,4,1,2,0.500000,83,83,1.000000,3.831325,3.831325,0.000000,0.156627,0.024096,-0.132531
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,16,16,2,1,2,0.125000,810,810,1.000000,1.992593,1.992593,0.000000,0.604938,0.011111,-0.593827
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,16,16,3,1,2,0.187500,541,541,1.000000,2.983364,2.983364,0.000000,0.460259,0.011091,-0.449168
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,16,16,4,1,2,0.250000,407,407,1.000000,3.965602,3.965602,0.000000,0.324324,0.012285,-0.312039
