algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,76.0,2.0,97.368421,4.622356,5.933824,1.311468,28.372285,0.111782,0.172794,0.061012,-54.581238,0.577795,0.741728,0.163933,28.372174
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,76.0,2.0,97.368421,4.981481,6.903766,1.922285,38.588625,0.157407,0.051282,-0.106125,67.420763,0.622685,0.862971,0.240286,38.588693
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.24026,0.009756,-0.230504,95.939399,0.655032,0.982143,0.327111,49.938171
QAOA,8,64,asap,next_cycle,8,1,2,8,4,5,5,142.0,2.0,98.591549,3.843895,3.988746,0.144851,3.768339,0.034536,0.25226,0.217724,-630.426222,0.480487,0.498593,0.018106,3.76826
QAOA,8,64,asap,next_cycle,8,1,2,8,5,5,5,142.0,2.0,98.591549,4.652712,4.983968,0.331256,7.119633,0.043768,0.158317,0.114549,-261.718607,0.581589,0.622996,0.041407,7.119633
QAOA,8,64,asap,next_cycle,8,1,2,8,6,5,5,142.0,2.0,98.591549,5.39545,5.978313,0.582863,10.802862,0.058036,0.112048,0.054012,-93.066373,0.674431,0.747289,0.072858,10.802884
QAOA,8,64,asap,next_cycle,8,1,2,8,7,5,5,142.0,2.0,98.591549,6.08802,6.965812,0.877792,14.418349,0.067757,0.062678,-0.005079,7.495904,0.761002,0.870726,0.109724,14.418359
QAOA,8,64,asap,next_cycle,8,1,2,8,8,5,5,142.0,2.0,98.591549,6.693548,7.955272,1.261724,18.849854,0.084677,0.003205,-0.081472,96.215029,0.836694,0.994409,0.157715,18.849783
QAOA,8,64,greedy_critical,next_cycle,8,1,2,8,4,5,5,142.0,2.0,98.591549,3.882904,3.988746,0.105842,2.725846,0.027581,0.453574,0.425993,-1544.516152,0.485363,0.498593,0.01323,2.725795
QAOA,8,64,greedy_critical,next_cycle,8,1,2,8,5,5,5,142.0,2.0,98.591549,4.706449,4.983968,0.277519,5.896569,0.027911,0.325651,0.29774,-1066.747877,0.588306,0.622996,0.03469,5.896591
QAOA,8,64,greedy_critical,next_cycle,8,1,2,8,6,5,5,142.0,2.0,98.591549,5.494382,5.978313,0.483931,8.807742,0.048315,0.209639,0.161324,-333.900445,0.686798,0.747289,0.060491,8.807684
QAOA,8,64,greedy_critical,next_cycle,8,1,2,8,7,5,5,142.0,2.0,98.591549,6.225,6.965812,0.740812,11.900594,0.050584,0.096503,0.045919,-90.777716,0.778125,0.870726,0.092601,11.90053
QAOA,8,64,greedy_critical,next_cycle,8,1,2,8,8,5,5,142.0,2.0,98.591549,7.490964,7.955272,0.464308,6.198241,0.00463,0.003205,-0.001425,30.777538,0.93637,0.994409,0.058039,6.198298
QAOA,8,64,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,142.0,2.0,98.591549,3.870817,3.988746,0.117929,3.046618,0.020233,0.463435,0.443202,-2190.490782,0.483852,0.498593,0.014741,3.046593
QAOA,8,64,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,142.0,2.0,98.591549,4.701923,4.983968,0.282045,5.998503,0.037594,0.327655,0.290061,-771.561951,0.58774,0.622996,0.035256,5.998571
QAOA,8,64,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,142.0,2.0,98.591549,5.484581,5.978313,0.493732,9.002183,0.049327,0.195678,0.146351,-296.695522,0.685573,0.747289,0.061716,9.002105
QAOA,8,64,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,142.0,2.0,98.591549,6.225,6.965812,0.740812,11.900594,0.07125,0.067227,-0.004023,5.646316,0.778125,0.870726,0.092601,11.90053
QAOA,8,64,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,142.0,2.0,98.591549,7.490964,7.955272,0.464308,6.198241,0.022727,0.003205,-0.019522,85.897831,0.93637,0.994409,0.058039,6.198298
QFT,4,16,asap,next_cycle,8,1,2,8,4,5,5,77.0,7.0,90.909091,3.2,3.923567,0.723567,22.611469,0.098958,0.43949,0.340532,-344.117707,0.4,0.490446,0.090446,22.6115
QFT,4,16,asap,next_cycle,8,1,2,8,5,5,5,77.0,7.0,90.909091,3.571014,4.850394,1.27938,35.826799,0.198251,0.317647,0.119396,-60.224665,0.446377,0.606299,0.159922,35.826667
QFT,4,16,asap,next_cycle,8,1,2,8,6,5,5,77.0,7.0,90.909091,3.790769,5.730233,1.939464,51.162812,0.252308,0.21028,-0.042028,16.657419,0.473846,0.716279,0.242433,51.162825
QFT,4,16,asap,next_cycle,8,1,2,8,7,5,5,77.0,7.0,90.909091,3.886435,6.623656,2.737221,70.430124,0.309148,0.118919,-0.190229,61.533311,0.485804,0.827957,0.342153,70.430256
QFT,4,16,asap,next_cycle,8,1,2,8,8,5,5,77.0,7.0,90.909091,3.898734,7.421687,3.522953,90.361461,0.338608,0.036145,-0.302463,89.325415,0.487342,0.927711,0.440369,90.361389
QFT,4,16,greedy_critical,next_cycle,8,1,2,8,4,5,5,77.0,7.0,90.909091,3.242105,3.936102,0.693997,21.405753,0.094488,0.440895,0.346407,-366.614808,0.405263,0.492013,0.08675,21.405852
QFT,4,16,greedy_critical,next_cycle,8,1,2,8,5,5,5,77.0,7.0,90.909091,3.612903,4.908367,1.295464,35.856595,0.181818,0.322709,0.140891,-77.490127,0.451613,0.613546,0.161933,35.856585
QFT,4,16,greedy_critical,next_cycle,8,1,2,8,6,5,5,77.0,7.0,90.909091,3.838006,5.894737,2.056731,53.58853,0.266458,0.215311,-0.051147,19.195145,0.479751,0.736842,0.257091,53.588424
QFT,4,16,greedy_critical,next_cycle,8,1,2,8,7,5,5,77.0,7.0,90.909091,3.923567,6.882682,2.959115,75.419,0.315287,0.094972,-0.220315,69.877604,0.490446,0.860335,0.369889,75.418904
QFT,4,16,greedy_critical,next_cycle,8,1,2,8,8,5,5,77.0,7.0,90.909091,3.923567,7.847134,3.923567,100.0,0.353503,0.012739,-0.340764,96.396353,0.490446,0.980892,0.490446,100.0
QFT,4,16,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,77.0,7.0,90.909091,3.233596,3.936102,0.702506,21.725225,0.13089,0.43131,0.30042,-229.520972,0.404199,0.492013,0.087814,21.725437
QFT,4,16,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,77.0,7.0,90.909091,3.612903,4.928,1.315097,36.400009,0.143695,0.332,0.188305,-131.044922,0.451613,0.616,0.164387,36.399971
QFT,4,16,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,77.0,7.0,90.909091,3.826087,5.894737,2.06865,54.066988,0.18323,0.210526,0.027296,-14.897124,0.478261,0.736842,0.258581,54.066922
QFT,4,16,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,77.0,7.0,90.909091,3.911111,6.882682,2.971571,75.97767,0.234921,0.083799,-0.151122,64.328859,0.488889,0.860335,0.371446,75.977574
QFT,4,16,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,77.0,7.0,90.909091,3.923567,7.847134,3.923567,100.0,0.350318,0.012739,-0.337579,96.36359,0.490446,0.980892,0.490446,100.0
QFT,6,36,asap,next_cycle,8,1,2,8,4,5,5,177.0,17.0,90.39548,3.817855,3.980012,0.162157,4.247333,0.031156,0.355,0.323844,-1039.427398,0.477232,0.497502,0.02027,4.24741
QFT,6,36,asap,next_cycle,8,1,2,8,5,5,5,177.0,17.0,90.39548,4.644315,4.966485,0.32217,6.936868,0.050292,0.279034,0.228742,-454.827806,0.580539,0.620811,0.040272,6.937002
QFT,6,36,asap,next_cycle,8,1,2,8,6,5,5,177.0,17.0,90.39548,5.40458,5.94403,0.53945,9.981349,0.067854,0.204291,0.136437,-201.074366,0.675573,0.743004,0.067431,9.981305
QFT,6,36,asap,next_cycle,8,1,2,8,7,5,5,177.0,17.0,90.39548,6.08596,6.911063,0.825103,13.557483,0.08978,0.117264,0.027484,-30.612609,0.760745,0.863883,0.103138,13.5575
QFT,6,36,asap,next_cycle,8,1,2,8,8,5,5,177.0,17.0,90.39548,6.679245,7.856967,1.177722,17.632562,0.10808,0.008631,-0.099449,92.014249,0.834906,0.982121,0.147215,17.632524
QFT,6,36,greedy_critical,next_cycle,8,1,2,8,4,5,5,177.0,17.0,90.39548,3.829327,3.984991,0.155664,4.065049,0.024053,0.434647,0.410594,-1707.038623,0.478666,0.498124,0.019458,4.065047
QFT,6,36,greedy_critical,next_cycle,8,1,2,8,5,5,5,177.0,17.0,90.39548,4.668132,4.974239,0.306107,6.557377,0.032234,0.353906,0.321672,-997.927654,0.583516,0.62178,0.038264,6.557489
QFT,6,36,greedy_critical,next_cycle,8,1,2,8,6,5,5,177.0,17.0,90.39548,5.432225,5.95514,0.522915,9.626166,0.061381,0.23271,0.171329,-279.123833,0.679028,0.744393,0.065365,9.62626
QFT,6,36,greedy_critical,next_cycle,8,1,2,8,7,5,5,177.0,17.0,90.39548,6.121037,6.971554,0.850517,13.894982,0.07781,0.109409,0.031599,-40.610461,0.76513,0.871444,0.106314,13.894894
QFT,6,36,greedy_critical,next_cycle,8,1,2,8,8,5,5,177.0,17.0,90.39548,6.941176,7.965,1.023824,14.750008,0.081699,0.0025,-0.079199,96.939987,0.867647,0.995625,0.127978,14.750008
QFT,6,36,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,177.0,17.0,90.39548,3.822436,3.984991,0.162555,4.252655,0.030612,0.436796,0.406184,-1326.878348,0.477804,0.498124,0.02032,4.25279
QFT,6,36,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,177.0,17.0,90.39548,4.657895,4.974239,0.316344,6.791566,0.037308,0.355191,0.317883,-852.050499,0.582237,0.62178,0.039543,6.791564
QFT,6,36,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,177.0,17.0,90.39548,5.418367,5.95514,0.536773,9.906546,0.05102,0.229186,0.178166,-349.208154,0.677296,0.744393,0.067097,9.906599
QFT,6,36,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,177.0,17.0,90.39548,6.1093,6.971554,0.862254,14.113794,0.055609,0.105033,0.049424,-88.8777,0.763663,0.871444,0.107781,14.113686
QFT,6,36,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,177.0,17.0,90.39548,6.941176,7.965,1.023824,14.750008,0.08061,0.0025,-0.07811,96.898648,0.867647,0.995625,0.127978,14.750008
VQE,4,16,asap,next_cycle,8,1,2,8,4,5,5,15.0,1.0,93.333333,3.084337,3.820896,0.736559,23.880627,0.108434,0.358209,0.249775,-230.347492,0.385542,0.477612,0.09207,23.880667
VQE,4,16,asap,next_cycle,8,1,2,8,5,5,5,15.0,1.0,93.333333,3.506849,4.654545,1.147696,32.727272,0.123288,0.254545,0.131257,-106.463727,0.438356,0.581818,0.143462,32.727281
VQE,4,16,asap,next_cycle,8,1,2,8,6,5,5,15.0,1.0,93.333333,3.710145,5.446809,1.736664,46.808521,0.144928,0.170213,0.025285,-17.446594,0.463768,0.680851,0.217083,46.808534
VQE,4,16,asap,next_cycle,8,1,2,8,7,5,5,15.0,1.0,93.333333,3.764706,6.095238,2.330532,61.904754,0.264706,0.071429,-0.193277,73.015723,0.470588,0.761905,0.291317,61.904893
VQE,4,16,asap,next_cycle,8,1,2,8,8,5,5,15.0,1.0,93.333333,3.820896,6.918919,3.098023,81.081061,0.38806,0.054054,-0.334006,86.070711,0.477612,0.864865,0.387253,81.081087
VQE,4,16,greedy_critical,next_cycle,8,1,2,8,4,5,5,15.0,1.0,93.333333,3.240506,3.820896,0.58039,17.910474,0.088608,0.358209,0.269601,-304.262595,0.405063,0.477612,0.072549,17.910547
