algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,6,36,raw,asap,next_cycle,8,1,2,8,6,5,1614.0,338.0,76.0,4.526627,4.448833,4.888354,0.127321,0.085804,0.155276,0.565828,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,2,8,7,5,1614.0,323.0,76.0,4.861446,4.660087,5.160722,0.166667,0.112885,0.175459,0.607681,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,2,8,8,5,1614.0,319.0,76.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,4,5,1614.0,439.0,76.0,3.686747,3.590807,3.79294,0.057831,0.032311,0.072598,0.460843,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,5,5,1614.0,367.0,76.0,4.238227,4.158342,4.489529,0.083102,0.052613,0.097969,0.529778,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,6,5,1614.0,329.0,76.0,4.650456,4.585449,5.016686,0.098901,0.078985,0.137188,0.581307,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,7,5,1614.0,311.0,76.0,4.996904,4.8442,5.365156,0.176849,0.12562,0.198576,0.624613,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.243506,0.205688,0.263591,0.655032,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,4,5,1614.0,441.0,76.0,3.677885,3.571116,3.770748,0.0625,0.033786,0.083151,0.459736,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,5,5,1614.0,368.0,76.0,4.226519,4.158136,4.470899,0.066298,0.055107,0.102252,0.528315,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,6,5,1614.0,331.0,76.0,4.622356,4.559813,5.001197,0.111782,0.092527,0.159548,0.577795,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,7,5,1614.0,311.0,76.0,4.981481,4.837328,5.347772,0.157407,0.099217,0.164573,0.622685,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.24026,0.207372,0.255474,0.655032,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.235751,0.222444,0.247596,0.495793,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,5,5,1614.0,326.0,2.0,4.951456,4.946048,4.954955,0.142415,0.124287,0.157658,0.618932,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,6,5,1614.0,272.0,2.0,5.933824,5.93166,5.935252,0.073643,0.064707,0.093525,0.741728,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,7,5,1614.0,234.0,2.0,6.903766,6.894664,6.906429,0.038462,0.035334,0.046025,0.862971,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.425481,0.42284,0.428956,0.495793,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,5,5,1614.0,326.0,2.0,4.951456,4.946048,4.954955,0.303681,0.291072,0.306306,0.618932,76.0,2.0
