algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,200,5,94.117647,109.523815,66.304379,215.217346,88.711862,109.523936,2.313725,0.397917,200,0,0,0.0
QAOA,6,36,200,5,97.368421,15.161034,6.0096,50.2439,83.459899,15.16101,3.953665,0.087471,195,5,0,0.0
QAOA,8,64,200,5,98.591549,3.846158,1.807704,7.317078,-3.856124,3.846106,4.791175,0.023938,185,15,0,0.0
QFT,4,16,200,5,90.909091,43.294073,21.725225,100.0,89.521275,43.294092,3.438474,0.212766,200,0,0,0.0
QFT,6,36,200,5,90.39548,7.339955,4.067564,14.750008,90.88602,7.339999,5.01912,0.04335,200,0,0,0.0
VQE,4,16,200,5,93.333333,35.962745,20.895531,72.972975,38.541007,35.962707,3.28259,0.120884,200,0,0,0.0
VQE,6,36,200,5,97.142857,3.834353,0.0,7.784431,0.0,3.83443,4.991674,0.018512,140,60,0,0.0
VQE,8,64,200,5,98.412698,0.876325,0.0,1.947405,0.0,0.876352,5.619555,0.006757,120,80,0,0.0
