algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,greedy_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,greedy_critical,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,greedy_critical,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.408377,0.322581,-0.085796,21.009019,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,greedy_critical,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,7.08,5.216842,279.999979,0.610526,0.06,-0.550526,90.172409,0.232895,0.885,0.652105,279.999571,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.417582,0.273514,-189.850626,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,7.531915,4.426652,142.553207,0.350877,0.021277,-0.3296,93.936052,0.388158,0.941489,0.553331,142.553033,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.445652,0.177678,-66.304194,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.445652,0.177678,-66.304194,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,shifted_critical,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.408377,0.44086,0.032483,-7.95417,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,shifted_critical,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,7.08,5.216842,279.999979,0.610526,0.06,-0.550526,90.172409,0.232895,0.885,0.652105,279.999571,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.161017,0.373626,0.212609,-132.041337,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_high,l1_l1,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,7.531915,4.426652,142.553207,0.350877,0.021277,-0.3296,93.936052,0.388158,0.941489,0.553331,142.553033,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.413613,0.376344,-0.037269,9.010597,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,7.08,5.216842,279.999979,0.610526,0.06,-0.550526,90.172409,0.232895,0.885,0.652105,279.999571,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.161017,0.021978,-0.139039,86.35051,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_high,l1_l1,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,7.531915,4.426652,142.553207,0.350877,0.021277,-0.3296,93.936052,0.388158,0.941489,0.553331,142.553033,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.261438,0.032609,-0.228829,87.527062,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.300654,0.043478,-0.257176,85.538859,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,2,1,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.408377,0.053763,-0.354614,86.834959,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,stall_aware_shifted_refined,next_cycle,8,2,2,8,8,37,2,94.594595,1.863158,7.08,5.216842,279.999979,0.610526,0.06,-0.550526,90.172409,0.232895,0.885,0.652105,279.999571,0.232895,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.903614,0.563408,16.867463,0.061856,0.168675,0.106819,-172.689796,0.417526,0.487952,0.070426,16.867453,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,1,8,8,28,2,92.857143,3.6,7.363636,3.763636,104.545444,0.277778,0.022727,-0.255051,91.818287,0.45,0.920455,0.470455,104.545556,0.45,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,2,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,1,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,2,8,4,28,2,92.857143,2.16,3.724138,1.564138,72.413796,0.34,0.183908,-0.156092,45.909412,0.27,0.465517,0.195517,72.413704,0.27,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,2,8,8,28,2,92.857143,2.189189,6.75,4.560811,208.33336,0.560811,0.0625,-0.498311,88.855425,0.273649,0.84375,0.570101,208.332937,0.273649,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.325301,0.261471,-409.636535,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,8,28,2,92.857143,3.724138,7.534884,3.810746,102.325585,0.321839,0.023256,-0.298583,92.774027,0.465517,0.94186,0.476343,102.325586,0.465517,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4
