algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,regime_switch,stall_high,underutilized,l2_l2,W8_M8_F8,7,242.553217,7,1.0,7,1.0,7,1.0,strong
QAOA,regime_switch,stall_high,underutilized,mixed,W8_M8_F4,9,66.304379,9,1.0,9,1.0,9,1.0,strong
QAOA,regime_switch,stall_high,underutilized,mixed,W8_M8_F8,10,208.00004,10,1.0,10,1.0,10,1.0,strong
QAOA,regime_switch,stall_low,near_saturation,l1_l1,W8_M8_F8,3,8.374386,3,1.0,3,1.0,0,0.0,moderate
QAOA,regime_switch,stall_low,underutilized,l1_l1,W8_M8_F4,10,1.659702,10,1.0,1,0.1,0,0.0,weak
QAOA,regime_switch,stall_low,underutilized,l2_l2,W8_M8_F4,5,6.275467,5,1.0,3,0.6,0,0.0,weak
QAOA,regime_switch,stall_low,underutilized,mixed,W8_M8_F4,15,3.507345,15,1.0,3,0.2,0,0.0,weak
QAOA,regime_switch,stall_medium,active,l1_l1,W8_M8_F8,3,31.4433,3,1.0,3,1.0,3,1.0,strong
QAOA,regime_switch,stall_medium,active,l2_l2,W8_M8_F8,2,30.450128,2,1.0,2,1.0,2,1.0,strong
QAOA,regime_switch,stall_medium,active,mixed,W8_M8_F8,6,45.714285,6,1.0,6,1.0,6,1.0,strong
QAOA,regime_switch,stall_medium,near_saturation,l1_l1,W8_M8_F8,4,15.101773,4,1.0,4,1.0,1,0.25,moderate
QAOA,regime_switch,stall_medium,near_saturation,l2_l2,W8_M8_F8,1,23.839994,1,1.0,1,1.0,1,1.0,strong
QAOA,regime_switch,stall_medium,near_saturation,mixed,W8_M8_F8,8,18.359354,8,1.0,8,1.0,2,0.25,moderate
QAOA,regime_switch,stall_medium,underutilized,l1_l1,W8_M8_F4,3,25.609749,3,1.0,3,1.0,2,0.666667,moderate
QAOA,regime_switch,stall_medium,underutilized,l2_l2,W8_M8_F4,5,17.054268,5,1.0,5,1.0,1,0.2,moderate
