algorithm,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,720,5,97.368421,21.20223,6.0096,72.941161,14.035388,21.20219,3.815014,0.114685,717,3,0,0.0
QFT,480,5,90.652286,19.225749,7.339955,43.294073,-5.071928,19.22577,3.864439,0.098958,480,0,0,0.0
VQE,720,5,97.142857,5.825247,1.226984,20.149265,-65.914792,5.825217,3.927273,0.029358,600,120,0,0.0
