algorithm,hardware_size,logical_qubits,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,4,16,200,5,94.117647,109.523815,66.304379,208.33336,75.658395,109.523936,2.313725,0.395833,200,0,0,0.0
QAOA,6,36,200,5,97.368421,19.072159,7.512965,51.23153,13.375221,19.072207,3.909953,0.100088,200,0,0,0.0
QAOA,8,64,200,5,98.591549,4.465746,2.572341,9.280005,-154.701178,4.46573,4.775607,0.027581,197,3,0,0.0
QFT,4,16,200,5,90.909091,43.294073,21.725225,99.363075,-5.071928,43.294092,3.389629,0.207701,200,0,0,0.0
QFT,6,36,200,5,90.39548,7.339955,4.12759,14.874992,-215.758451,7.339999,5.004605,0.052047,200,0,0,0.0
VQE,4,16,200,5,93.333333,35.962745,18.656737,72.972975,-65.914792,35.962707,3.326919,0.102273,200,0,0,0.0
VQE,6,36,200,5,97.142857,4.740058,1.226984,7.784431,-377.494509,4.74014,4.991674,0.024169,155,45,0,0.0
VQE,8,64,200,5,98.412698,1.072132,0.0,2.480544,-1271.28323,1.072133,5.619555,0.007145,140,60,0,0.0
