dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,VQE,greedy_critical,l1_l1,W8_M8_F4,15,5,3.927273,0.009091,0.490909
raw,VQE,greedy_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
raw,VQE,greedy_critical,l2_l2,W8_M8_F4,15,5,3.745665,0.043353,0.468208
raw,VQE,greedy_critical,l2_l2,W8_M8_F8,15,5,7.2,0.066667,0.9
raw,VQE,greedy_critical,mixed,W8_M8_F4,30,5,3.83432,0.011834,0.47929
raw,VQE,greedy_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
raw,VQE,regime_switch,l1_l1,W8_M8_F4,15,5,3.868657,0.014925,0.483582
raw,VQE,regime_switch,l1_l1,W8_M8_F8,15,5,7.160221,0.022099,0.895028
raw,VQE,regime_switch,l2_l2,W8_M8_F4,15,5,3.692308,0.051282,0.461538
raw,VQE,regime_switch,l2_l2,W8_M8_F8,15,5,6.056075,0.11215,0.757009
raw,VQE,regime_switch,mixed,W8_M8_F4,30,5,3.789474,0.02924,0.473684
raw,VQE,regime_switch,mixed,W8_M8_F8,30,5,6.646154,0.082051,0.830769
raw,VQE,shifted_critical,l1_l1,W8_M8_F4,15,5,3.927273,0.009091,0.490909
raw,VQE,shifted_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
raw,VQE,shifted_critical,l2_l2,W8_M8_F4,15,5,3.745665,0.043353,0.468208
raw,VQE,shifted_critical,l2_l2,W8_M8_F8,15,5,7.2,0.066667,0.9
raw,VQE,shifted_critical,mixed,W8_M8_F4,30,5,3.83432,0.011834,0.47929
raw,VQE,shifted_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
raw,VQE,stall_aware_shifted,l1_l1,W8_M8_F4,15,5,3.845697,0.014837,0.480712
raw,VQE,stall_aware_shifted,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
